,iou_threshold,data,label_name,precision,recall,confidence
0,0.01,dataset,NA,0.02727272727272727,0.0,0.9660273790359496
2,0.01,dataset,NA,0.02727272727272727,0.0,0.9647644758224488
3,0.01,dataset,NA,0.02727272727272727,0.0,0.9638397693634032
4,0.01,dataset,NA,0.02727272727272727,0.0,0.9627935290336608
6,0.01,dataset,NA,0.02727272727272727,0.0,0.9596624374389648
7,0.01,dataset,NA,0.02727272727272727,0.0,0.9595152139663696
8,0.01,dataset,NA,0.02727272727272727,0.0,0.9591819047927856
9,0.01,dataset,NA,0.02727272727272727,0.0,0.9574216604232788
10,0.01,dataset,NA,0.02727272727272727,0.0,0.9561330080032348
11,0.01,dataset,NA,0.02727272727272727,0.0,0.9545193314552308
12,0.01,dataset,NA,0.02727272727272727,0.0,0.9536432027816772
13,0.01,dataset,NA,0.02727272727272727,0.0,0.9526492357254028
14,0.01,dataset,NA,0.02727272727272727,0.0,0.9519882202148438
15,0.01,dataset,NA,0.02727272727272727,0.0,0.9519319534301758
16,0.01,dataset,NA,0.02727272727272727,0.0,0.9518719911575316
17,0.01,dataset,NA,0.02727272727272727,0.0,0.9513611793518066
18,0.01,dataset,NA,0.02727272727272727,0.0,0.9509670734405518
19,0.01,dataset,NA,0.02727272727272727,0.0,0.9496745467185974
20,0.01,dataset,NA,0.02727272727272727,0.0,0.9496092796325684
21,0.01,dataset,NA,0.02727272727272727,0.0,0.9493685364723206
22,0.01,dataset,NA,0.02727272727272727,0.0,0.9493056535720824
24,0.01,dataset,NA,0.02727272727272727,0.0,0.9492849707603456
25,0.01,dataset,NA,0.02727272727272727,0.0,0.9491763710975648
26,0.01,dataset,NA,0.02727272727272727,0.0,0.9490774273872375
27,0.01,dataset,NA,0.02727272727272727,0.0,0.94904762506485
28,0.01,dataset,NA,0.02727272727272727,0.0,0.9483494758605956
29,0.01,dataset,NA,0.02727272727272727,0.0,0.9474314451217652
30,0.01,dataset,NA,0.02727272727272727,0.0,0.9469240307807922
31,0.01,dataset,NA,0.02727272727272727,0.0,0.9461103677749634
32,0.01,dataset,NA,0.02727272727272727,0.0,0.9458224177360536
33,0.01,dataset,NA,0.02727272727272727,0.0,0.9445897936820984
34,0.01,dataset,NA,0.02727272727272727,0.0,0.9443227648735046
35,0.01,dataset,NA,0.02727272727272727,0.0,0.9443190693855286
36,0.01,dataset,NA,0.02727272727272727,0.0,0.9441950917243958
37,0.01,dataset,NA,0.02727272727272727,0.0,0.9439380764961244
38,0.01,dataset,NA,0.02727272727272727,0.0,0.9430434107780457
39,0.01,dataset,NA,0.02727272727272727,0.0,0.942955732345581
40,0.01,dataset,NA,0.02727272727272727,0.0,0.9428783655166626
42,0.01,dataset,NA,0.02727272727272727,0.0,0.9426316022872924
43,0.01,dataset,NA,0.02727272727272727,0.0,0.9426212310791016
44,0.01,dataset,NA,0.02727272727272727,0.0,0.941989541053772
45,0.01,dataset,NA,0.02727272727272727,0.0,0.9418427348136902
46,0.01,dataset,NA,0.02727272727272727,0.0,0.9415552020072936
47,0.01,dataset,NA,0.02727272727272727,0.0,0.940973460674286
49,0.01,dataset,NA,0.02727272727272727,0.0,0.9409091472625732
50,0.01,dataset,NA,0.02727272727272727,0.0,0.9408262372016908
51,0.01,dataset,NA,0.02727272727272727,0.0,0.940249800682068
52,0.01,dataset,NA,0.02727272727272727,0.0,0.9400778412818908
53,0.01,dataset,NA,0.02727272727272727,0.0,0.939907729625702
54,0.01,dataset,NA,0.02727272727272727,0.0,0.939509093761444
55,0.01,dataset,NA,0.02727272727272727,0.0,0.9392202496528624
56,0.01,dataset,NA,0.02727272727272727,0.0,0.9392169713974
57,0.01,dataset,NA,0.02727272727272727,0.0,0.9392021298408508
59,0.01,dataset,NA,0.02727272727272727,0.0,0.938981294631958
60,0.01,dataset,NA,0.02727272727272727,0.0,0.9388426542282104
61,0.01,dataset,NA,0.02727272727272727,0.0,0.938747763633728
63,0.01,dataset,NA,0.02727272727272727,0.0,0.938493311405182
64,0.01,dataset,NA,0.02727272727272727,0.0,0.938345730304718
65,0.01,dataset,NA,0.02727272727272727,0.0,0.9383116960525512
66,0.01,dataset,NA,0.02727272727272727,0.0,0.9382988214492798
67,0.01,dataset,NA,0.02727272727272727,0.0,0.9381831288337708
68,0.01,dataset,NA,0.02727272727272727,0.0,0.9381756782531738
69,0.01,dataset,NA,0.02727272727272727,0.0,0.9380104541778564
70,0.01,dataset,NA,0.02727272727272727,0.0,0.9379488229751588
71,0.01,dataset,NA,0.02727272727272727,0.0,0.937821924686432
72,0.01,dataset,NA,0.02727272727272727,0.0,0.9375267624855042
73,0.01,dataset,NA,0.02727272727272727,0.0,0.9375088810920716
74,0.01,dataset,NA,0.02727272727272727,0.0,0.9374517798423768
75,0.01,dataset,NA,0.02727272727272727,0.0,0.9374475479125975
76,0.01,dataset,NA,0.02727272727272727,0.0,0.9374302625656128
77,0.01,dataset,NA,0.02727272727272727,0.0,0.9373019933700562
78,0.01,dataset,NA,0.02727272727272727,0.0,0.9370856285095216
79,0.01,dataset,NA,0.02727272727272727,0.0,0.9369457960128784
80,0.01,dataset,NA,0.02727272727272727,0.00022794620469569182,0.9367097020149232
81,0.01,dataset,NA,0.02727272727272727,0.00022794620469569182,0.936674416065216
82,0.01,dataset,NA,0.02727272727272727,0.00022794620469569182,0.9364652037620544
83,0.01,dataset,NA,0.02727272727272727,0.00022794620469569182,0.936229169368744
84,0.01,dataset,NA,0.02727272727272727,0.00022794620469569182,0.9361543655395508
